Run,Assay Type,AvgSpotLen,Bases,BioProject,BioSample,Bytes,cell_line,cell_type,Center Name,Collection_Date,Consent,DATASTORE filetype,DATASTORE provider,DATASTORE region,Experiment,genotype,geo_loc_name_country,geo_loc_name_country_continent,geo_loc_name,Instrument,Library Name,LibraryLayout,LibrarySelection,LibrarySource,Organism,Platform,ReleaseDate,create_date,version,Sample Name,source_name,SRA Study,tissue,treatment
SRR31221361,RNA-Seq,302,4184718568,PRJNA1181815,SAMN44572983,1259046146,Primary,Alveolar Macrophages,"PULMONARY, CRITICAL CARE, SLEEP MEDICINE, UNIVERSITY OF CALIFORNIA LOS ANGELES",missing,public,"run.zq,sra,fastq","ncbi,s3,gs","ncbi.public,s3.us-east-1,gs.us-east1",SRX26601944,C3KO,uncalculated,uncalculated,missing,Illumina NovaSeq 6000,GSM8608646,PAIRED,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2026-08-07T00:00:00Z,2024-11-04T16:38:00Z,1,GSM8608646,Lung,SRP543091,Lung,trained using heat-killed Candida albicans
SRR31221363,RNA-Seq,302,4009071442,PRJNA1181815,SAMN44572984,1204532998,Primary,Alveolar Macrophages,"PULMONARY, CRITICAL CARE, SLEEP MEDICINE, UNIVERSITY OF CALIFORNIA LOS ANGELES",missing,public,"sra,run.zq,fastq","ncbi,gs,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX26601943,C3KO,uncalculated,uncalculated,missing,Illumina NovaSeq 6000,GSM8608645,PAIRED,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2026-08-07T00:00:00Z,2024-11-04T16:39:00Z,1,GSM8608645,Lung,SRP543091,Lung,trained using heat-killed Candida albicans
SRR31221365,RNA-Seq,302,4042578946,PRJNA1181815,SAMN44572985,1221979986,Primary,Alveolar Macrophages,"PULMONARY, CRITICAL CARE, SLEEP MEDICINE, UNIVERSITY OF CALIFORNIA LOS ANGELES",missing,public,"fastq,sra,run.zq","ncbi,s3,gs","gs.us-east1,ncbi.public,s3.us-east-1",SRX26601942,C3KO,uncalculated,uncalculated,missing,Illumina NovaSeq 6000,GSM8608644,PAIRED,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2026-08-07T00:00:00Z,2024-11-04T16:40:00Z,1,GSM8608644,Lung,SRP543091,Lung,trained using heat-killed Candida albicans
SRR31221367,RNA-Seq,302,3444328120,PRJNA1181815,SAMN44572986,1039684042,Primary,Alveolar Macrophages,"PULMONARY, CRITICAL CARE, SLEEP MEDICINE, UNIVERSITY OF CALIFORNIA LOS ANGELES",missing,public,"sra,fastq,run.zq","ncbi,gs,s3","ncbi.public,gs.us-east1,s3.us-east-1",SRX26601941,C3KO,uncalculated,uncalculated,missing,Illumina NovaSeq 6000,GSM8608643,PAIRED,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2026-08-07T00:00:00Z,2024-11-04T16:38:00Z,1,GSM8608643,Lung,SRP543091,Lung,trained using heat-killed Candida albicans
SRR31221369,RNA-Seq,302,4477799300,PRJNA1181815,SAMN44572987,1355797539,Primary,Alveolar Macrophages,"PULMONARY, CRITICAL CARE, SLEEP MEDICINE, UNIVERSITY OF CALIFORNIA LOS ANGELES",missing,public,"fastq,run.zq,sra","gs,s3,ncbi","s3.us-east-1,gs.us-east1,ncbi.public",SRX26601940,WT,uncalculated,uncalculated,missing,Illumina NovaSeq 6000,GSM8608642,PAIRED,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2026-08-07T00:00:00Z,2024-11-04T16:40:00Z,1,GSM8608642,Lung,SRP543091,Lung,trained using heat-killed Candida albicans
SRR31221371,RNA-Seq,302,3838378324,PRJNA1181815,SAMN44572988,1169908754,Primary,Alveolar Macrophages,"PULMONARY, CRITICAL CARE, SLEEP MEDICINE, UNIVERSITY OF CALIFORNIA LOS ANGELES",missing,public,"sra,run.zq,fastq","s3,ncbi,gs","ncbi.public,gs.us-east1,s3.us-east-1",SRX26601939,WT,uncalculated,uncalculated,missing,Illumina NovaSeq 6000,GSM8608641,PAIRED,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2026-08-07T00:00:00Z,2024-11-04T16:40:00Z,1,GSM8608641,Lung,SRP543091,Lung,trained using heat-killed Candida albicans
SRR31221373,RNA-Seq,302,4069751094,PRJNA1181815,SAMN44572989,1225577797,Primary,Alveolar Macrophages,"PULMONARY, CRITICAL CARE, SLEEP MEDICINE, UNIVERSITY OF CALIFORNIA LOS ANGELES",missing,public,"sra,fastq,run.zq","s3,ncbi,gs","ncbi.public,s3.us-east-1,gs.us-east1",SRX26601938,WT,uncalculated,uncalculated,missing,Illumina NovaSeq 6000,GSM8608640,PAIRED,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2026-08-07T00:00:00Z,2024-11-04T16:39:00Z,1,GSM8608640,Lung,SRP543091,Lung,trained using heat-killed Candida albicans
SRR31221375,RNA-Seq,302,4000459308,PRJNA1181815,SAMN44572990,1206506142,Primary,Alveolar Macrophages,"PULMONARY, CRITICAL CARE, SLEEP MEDICINE, UNIVERSITY OF CALIFORNIA LOS ANGELES",missing,public,"run.zq,fastq,sra","ncbi,s3,gs","s3.us-east-1,ncbi.public,gs.us-east1",SRX26601937,WT,uncalculated,uncalculated,missing,Illumina NovaSeq 6000,GSM8608639,PAIRED,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2026-08-07T00:00:00Z,2024-11-04T16:39:00Z,1,GSM8608639,Lung,SRP543091,Lung,trained using heat-killed Candida albicans
SRR31221362,RNA-Seq,302,5634564396,PRJNA1181815,SAMN44572983,1710014514,Primary,Alveolar Macrophages,"PULMONARY, CRITICAL CARE, SLEEP MEDICINE, UNIVERSITY OF CALIFORNIA LOS ANGELES",missing,public,"sra,run.zq,fastq","ncbi,gs,s3","s3.us-east-1,gs.us-east1,ncbi.public",SRX26601944,C3KO,uncalculated,uncalculated,missing,Illumina NovaSeq 6000,GSM8608646,PAIRED,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2026-08-07T00:00:00Z,2024-11-04T16:40:00Z,1,GSM8608646,Lung,SRP543091,Lung,trained using heat-killed Candida albicans
SRR31221364,RNA-Seq,302,5289282662,PRJNA1181815,SAMN44572984,1607256694,Primary,Alveolar Macrophages,"PULMONARY, CRITICAL CARE, SLEEP MEDICINE, UNIVERSITY OF CALIFORNIA LOS ANGELES",missing,public,"fastq,run.zq,sra","ncbi,s3,gs","ncbi.public,s3.us-east-1,gs.us-east1",SRX26601943,C3KO,uncalculated,uncalculated,missing,Illumina NovaSeq 6000,GSM8608645,PAIRED,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2026-08-07T00:00:00Z,2024-11-04T16:40:00Z,1,GSM8608645,Lung,SRP543091,Lung,trained using heat-killed Candida albicans
SRR31221366,RNA-Seq,302,5204390160,PRJNA1181815,SAMN44572985,1587713434,Primary,Alveolar Macrophages,"PULMONARY, CRITICAL CARE, SLEEP MEDICINE, UNIVERSITY OF CALIFORNIA LOS ANGELES",missing,public,"sra,run.zq,fastq","gs,s3,ncbi","ncbi.public,gs.us-east1,s3.us-east-1",SRX26601942,C3KO,uncalculated,uncalculated,missing,Illumina NovaSeq 6000,GSM8608644,PAIRED,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2026-08-07T00:00:00Z,2024-11-04T16:38:00Z,1,GSM8608644,Lung,SRP543091,Lung,trained using heat-killed Candida albicans
SRR31221368,RNA-Seq,302,4663552856,PRJNA1181815,SAMN44572986,1425092353,Primary,Alveolar Macrophages,"PULMONARY, CRITICAL CARE, SLEEP MEDICINE, UNIVERSITY OF CALIFORNIA LOS ANGELES",missing,public,"sra,fastq,run.zq","ncbi,s3,gs","gs.us-east1,ncbi.public,s3.us-east-1",SRX26601941,C3KO,uncalculated,uncalculated,missing,Illumina NovaSeq 6000,GSM8608643,PAIRED,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2026-08-07T00:00:00Z,2024-11-04T16:40:00Z,1,GSM8608643,Lung,SRP543091,Lung,trained using heat-killed Candida albicans
SRR31221370,RNA-Seq,302,5867618098,PRJNA1181815,SAMN44572987,1792539939,Primary,Alveolar Macrophages,"PULMONARY, CRITICAL CARE, SLEEP MEDICINE, UNIVERSITY OF CALIFORNIA LOS ANGELES",missing,public,"sra,run.zq,fastq","s3,gs,ncbi","s3.us-east-1,ncbi.public,gs.us-east1",SRX26601940,WT,uncalculated,uncalculated,missing,Illumina NovaSeq 6000,GSM8608642,PAIRED,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2026-08-07T00:00:00Z,2024-11-04T16:42:00Z,1,GSM8608642,Lung,SRP543091,Lung,trained using heat-killed Candida albicans
SRR31221372,RNA-Seq,302,5205592724,PRJNA1181815,SAMN44572988,1601423752,Primary,Alveolar Macrophages,"PULMONARY, CRITICAL CARE, SLEEP MEDICINE, UNIVERSITY OF CALIFORNIA LOS ANGELES",missing,public,"run.zq,fastq,sra","s3,ncbi,gs","ncbi.public,s3.us-east-1,gs.us-east1",SRX26601939,WT,uncalculated,uncalculated,missing,Illumina NovaSeq 6000,GSM8608641,PAIRED,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2026-08-07T00:00:00Z,2024-11-04T16:40:00Z,1,GSM8608641,Lung,SRP543091,Lung,trained using heat-killed Candida albicans
SRR31221374,RNA-Seq,302,5379478888,PRJNA1181815,SAMN44572989,1640359717,Primary,Alveolar Macrophages,"PULMONARY, CRITICAL CARE, SLEEP MEDICINE, UNIVERSITY OF CALIFORNIA LOS ANGELES",missing,public,"run.zq,fastq,sra","s3,ncbi,gs","ncbi.public,gs.us-east1,s3.us-east-1",SRX26601938,WT,uncalculated,uncalculated,missing,Illumina NovaSeq 6000,GSM8608640,PAIRED,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2026-08-07T00:00:00Z,2024-11-04T16:41:00Z,1,GSM8608640,Lung,SRP543091,Lung,trained using heat-killed Candida albicans
SRR31221376,RNA-Seq,302,5495384676,PRJNA1181815,SAMN44572990,1677697017,Primary,Alveolar Macrophages,"PULMONARY, CRITICAL CARE, SLEEP MEDICINE, UNIVERSITY OF CALIFORNIA LOS ANGELES",missing,public,"run.zq,fastq,sra","ncbi,gs,s3","s3.us-east-1,ncbi.public,gs.us-east1",SRX26601937,WT,uncalculated,uncalculated,missing,Illumina NovaSeq 6000,GSM8608639,PAIRED,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2026-08-07T00:00:00Z,2024-11-04T16:39:00Z,1,GSM8608639,Lung,SRP543091,Lung,trained using heat-killed Candida albicans
