"","Gene_Symbol","Gene_Name","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"ENSMUSG00000104478",NA,NA,0,NA,NA,NA,NA,NA
"ENSMUSG00000104385","Gm7449","high mobility group box 1-like pseudogene",0.245538118811801,-1.44071820944091,3.52933010351511,-0.408212937635388,0.683117350627648,NA
"ENSMUSG00000101231",NA,NA,0,NA,NA,NA,NA,NA
"ENSMUSG00000102135",NA,NA,0.425978311138223,2.21701582614647,3.47404580219758,0.638165399185023,0.523366018191644,NA
"ENSMUSG00000103282",NA,NA,0,NA,NA,NA,NA,NA
"ENSMUSG00000101097","Gm6679","cylindromatosis (turban tumor syndrome) pseudogene",0,NA,NA,NA,NA,NA
"ENSMUSG00000100764",NA,NA,0.304365639304467,1.63124792983975,3.51537802044323,0.46403201031395,0.64262481184107,NA
"ENSMUSG00000102534",NA,NA,0,NA,NA,NA,NA,NA
"ENSMUSG00000100831","Gm17847","keratin 18 pseudogene",0,NA,NA,NA,NA,NA
"ENSMUSG00000100884",NA,NA,0,NA,NA,NA,NA,NA
"ENSMUSG00000100635",NA,NA,0.243225343667512,1.49210798709516,3.52484227908569,0.423311986453532,0.672067650084632,NA
"ENSMUSG00000102213",NA,NA,0,NA,NA,NA,NA,NA
"ENSMUSG00000100480",NA,NA,0.608731278608935,2.73030537877922,3.44717791372051,0.792040749597523,0.428336916162301,NA
"ENSMUSG00000089037","Gm22159","predicted gene, 22159",0,NA,NA,NA,NA,NA
"ENSMUSG00000103629","Gm5694","acyl-Coenzyme A binding domain containing 5 pseudogene",0,NA,NA,NA,NA,NA
"ENSMUSG00002076531",NA,NA,0,NA,NA,NA,NA,NA
"ENSMUSG00000100025","Gm8141","heat shock protein 8 pseudogene",0.388469607670029,0.751495028046536,3.09961204738035,0.242448092393261,0.808432973347372,NA
"ENSMUSG00000051285","Pcmtd1","protein-L-isoaspartate (D-aspartate) O-methyltransferase domain containing 1",910.777026350467,-0.98160553443597,0.172614716054596,-5.68668510351979,1.29528978096262e-08,3.05652683535268e-07
"ENSMUSG00000098201",NA,NA,0.225797059449642,-1.37405871176123,3.53195351540025,-0.389036465448929,0.697249171500138,NA
"ENSMUSG00000103509",NA,NA,1.14872635661037,-3.65340269531303,2.63718511151365,-1.38534177193808,0.165947986585344,NA
"ENSMUSG00000048538",NA,NA,9.86261656421491,-0.889337628664901,0.703232773648448,-1.26464189666662,0.205999727076864,0.397725823145897
"ENSMUSG00000103709",NA,NA,0,NA,NA,NA,NA,NA
"ENSMUSG00000077244","Gm23274","predicted gene, 23274",0,NA,NA,NA,NA,NA
"ENSMUSG00000102768","Gm19002","predicted gene, 19002",0,NA,NA,NA,NA,NA
"ENSMUSG00000097797",NA,NA,0.716814121509673,-2.97134797280577,2.45851540436595,-1.20859440926386,0.226818705339362,NA
"ENSMUSG00000103498",NA,NA,0,NA,NA,NA,NA,NA
"ENSMUSG00000103067",NA,NA,0,NA,NA,NA,NA,NA
"ENSMUSG00000102320",NA,NA,0,NA,NA,NA,NA,NA
"ENSMUSG00000104226","Gm7470","dipeptidylpeptidase 8 pseudogene",0,NA,NA,NA,NA,NA
"ENSMUSG00000103903","Rps2-ps2","ribosomal protein S2, pseudogene 2",0,NA,NA,NA,NA,NA
"ENSMUSG00000103557",NA,NA,0,NA,NA,NA,NA,NA
"ENSMUSG00000026312","Cdh7","cadherin 7, type 2",0,NA,NA,NA,NA,NA
"ENSMUSG00000100290","Gm18552","polo-like kinase 1 pseudogene",0,NA,NA,NA,NA,NA
"ENSMUSG00000100758","Gm3332","transmembrane protein 64 pseudogene",0,NA,NA,NA,NA,NA
"ENSMUSG00000099926","Gm6693","AMME chromosomal region gene 1-like pseudogene",0,NA,NA,NA,NA,NA
"ENSMUSG00000039748","Exo1","exonuclease 1",114.514658663655,-0.153876669582965,0.431300168497883,-0.356773961204052,0.721261031064034,0.846578386307984
"ENSMUSG00000118715","Gm23805","predicted gene, 23805",0,NA,NA,NA,NA,NA
"ENSMUSG00000104158","Becn2","beclin 2",0,NA,NA,NA,NA,NA
"ENSMUSG00000103540",NA,NA,0,NA,NA,NA,NA,NA
"ENSMUSG00000057363","Uxs1","UDP-glucuronate decarboxylase 1",364.592099708382,0.192841371796764,0.259433611154178,0.743316839089756,0.45728987902985,0.653471181115734
"ENSMUSG00000047216","Cdh19","cadherin 19, type 2",0,NA,NA,NA,NA,NA
"ENSMUSG00000102788",NA,NA,0,NA,NA,NA,NA,NA
"ENSMUSG00000102160",NA,NA,0,NA,NA,NA,NA,NA
"ENSMUSG00000101253",NA,NA,0,NA,NA,NA,NA,NA
"ENSMUSG00000101846",NA,NA,0,NA,NA,NA,NA,NA
"ENSMUSG00000090243",NA,NA,0,NA,NA,NA,NA,NA
"ENSMUSG00000100701",NA,NA,1.40581724072727,0.742112643673573,2.02506885131923,0.366462919613881,0.71401967690087,NA
"ENSMUSG00000100555","Gm8173","DEAD (Asp-Glu-Ala-Asp) box polypeptide 18 pseudogene",0.456855136457842,2.35288965389967,3.41461279332622,0.689064850485635,0.490782458257055,NA
"ENSMUSG00000101395",NA,NA,0,NA,NA,NA,NA,NA
"ENSMUSG00000102728",NA,NA,0,NA,NA,NA,NA,NA
"ENSMUSG00000088848","Gm26352","predicted gene, 26352",0,NA,NA,NA,NA,NA
"ENSMUSG00002075225",NA,NA,0,NA,NA,NA,NA,NA
"ENSMUSG00000038702","Dsel","dermatan sulfate epimerase-like",166.30818411095,-1.16908480130385,0.264733874650026,-4.41607558854854,1.00508950169774e-05,0.000126531242905723
"ENSMUSG00000101875","Gm6028","ribosomal protein L9 pseudogene",0.122739471624115,-0.698005930714589,3.5338115409304,-0.197522115322204,0.8434189768104,NA
"ENSMUSG00000099732","Gm17752","CCR4-NOT transcription complex, subunit 1 pseudogene",0,NA,NA,NA,NA,NA
"ENSMUSG00000101220",NA,NA,0,NA,NA,NA,NA,NA
"ENSMUSG00000100020",NA,NA,0,NA,NA,NA,NA,NA
"ENSMUSG00000101054",NA,NA,0,NA,NA,NA,NA,NA
"ENSMUSG00000088691","Gm22331","predicted gene, 22331",0,NA,NA,NA,NA,NA
"ENSMUSG00000099884","Gm8204","BEN domain containing 3 pseudogene",0,NA,NA,NA,NA,NA
"ENSMUSG00000100304",NA,NA,0,NA,NA,NA,NA,NA
"ENSMUSG00000101453",NA,NA,0,NA,NA,NA,NA,NA
"ENSMUSG00000102105","Gm17946","exosome component 1 pseudogene",0,NA,NA,NA,NA,NA
"ENSMUSG00000099943","Gm18181","survival motor neuron 1 pseudogene",0,NA,NA,NA,NA,NA
"ENSMUSG00002075119",NA,NA,0,NA,NA,NA,NA,NA
"ENSMUSG00000097648",NA,NA,0,NA,NA,NA,NA,NA
"ENSMUSG00000101687","Gm4854","leukotriene A4 hydrolase pseudogene",0,NA,NA,NA,NA,NA
"ENSMUSG00000055214","Pld5","phospholipase D family member 5",0,NA,NA,NA,NA,NA
"ENSMUSG00000078184",NA,NA,1.08853994089551,0.837146050999437,2.08642095542912,0.401235450027993,0.688246783105126,NA
"ENSMUSG00000104363",NA,NA,0,NA,NA,NA,NA,NA
"ENSMUSG00000103277",NA,NA,0,NA,NA,NA,NA,NA
"ENSMUSG00000104157",NA,NA,0,NA,NA,NA,NA,NA
"ENSMUSG00000102446","Gm17965","predicted gene, 17965",0,NA,NA,NA,NA,NA
"ENSMUSG00000104248",NA,NA,0,NA,NA,NA,NA,NA
"ENSMUSG00000104021","Gm36536","predicted gene, 36536",0,NA,NA,NA,NA,NA
"ENSMUSG00000103471","Gm17966","ribosomal protein S2 pseudogene",0,NA,NA,NA,NA,NA
"ENSMUSG00000087875","Gm26104","predicted gene, 26104",0,NA,NA,NA,NA,NA
"ENSMUSG00000033007","Asic4","acid-sensing ion channel family member 4",0.245538118811801,-1.44071820944091,3.52933010351511,-0.408212937635388,0.683117350627648,NA
"ENSMUSG00000070695","Cntnap5a","contactin associated protein-like 5A",0,NA,NA,NA,NA,NA
"ENSMUSG00000025909","Sntg1","syntrophin, gamma 1",0,NA,NA,NA,NA,NA
"ENSMUSG00002076179",NA,NA,0,NA,NA,NA,NA,NA
"ENSMUSG00000102033",NA,NA,0,NA,NA,NA,NA,NA
"ENSMUSG00000102647",NA,NA,0,NA,NA,NA,NA,NA
"ENSMUSG00000086235",NA,NA,0,NA,NA,NA,NA,NA
"ENSMUSG00000102253",NA,NA,0,NA,NA,NA,NA,NA
"ENSMUSG00002074990",NA,NA,0,NA,NA,NA,NA,NA
"ENSMUSG00000094429","LOC139355246","uncharacterized LOC139355246",0,NA,NA,NA,NA,NA
"ENSMUSG00000103884",NA,NA,0,NA,NA,NA,NA,NA
"ENSMUSG00000084353",NA,NA,2.23052412514985,-0.838394551337874,1.47315467527914,-0.569115087103133,0.569278040364796,0.742212900435981
"ENSMUSG00000103933",NA,NA,0.945461720744221,-0.0807493275439323,2.16207423074736,-0.037348082871336,0.970207467626757,NA
"ENSMUSG00002075967",NA,NA,0,NA,NA,NA,NA,NA
"ENSMUSG00000086195",NA,NA,0,NA,NA,NA,NA,NA
"ENSMUSG00000104504",NA,NA,0,NA,NA,NA,NA,NA
"ENSMUSG00000066693",NA,NA,0,NA,NA,NA,NA,NA
"ENSMUSG00000102316",NA,NA,0,NA,NA,NA,NA,NA
"ENSMUSG00000103819",NA,NA,0,NA,NA,NA,NA,NA
"ENSMUSG00000102871",NA,NA,0,NA,NA,NA,NA,NA
"ENSMUSG00000101571",NA,NA,0,NA,NA,NA,NA,NA
"ENSMUSG00000104428","Gm18299","phosphoglycerate mutase 1 pseudogene",0,NA,NA,NA,NA,NA
"ENSMUSG00000102272",NA,NA,0,NA,NA,NA,NA,NA
"ENSMUSG00000065625","Gm24765","predicted gene, 24765",0,NA,NA,NA,NA,NA
"ENSMUSG00000103411","Gm18300","cytochrome b5 reductase 4 pseudogene",0,NA,NA,NA,NA,NA
"ENSMUSG00000061024","Rrs1","ribosome biogenesis regulator 1",1765.33544838543,-0.715995392035278,0.152562551515701,-4.69312675307211,2.69060664268931e-06,3.87472502403734e-05
"ENSMUSG00000102030","LOC139424762","uncharacterized LOC139424762",0.491076237623603,-2.42078538272908,3.45943807842074,-0.699762599547436,0.484075575214446,NA
"ENSMUSG00000025911","Adhfe1","alcohol dehydrogenase, iron containing, 1",863.372910899946,-0.925591901434385,0.110380877370623,-8.38543707463524,5.05376240773769e-17,3.60525115466805e-15
"ENSMUSG00000081441","Gm6161","heterogeneous nuclear ribonucleoprotein A3 pseudogene",0.133013333323591,-0.698005930714589,3.5338115409304,-0.197522115322204,0.8434189768104,NA
"ENSMUSG00000067879","Vxn","vexin",0,NA,NA,NA,NA,NA
"ENSMUSG00000099827",NA,NA,0,NA,NA,NA,NA,NA
"ENSMUSG00000057335","Cep170","centrosomal protein 170",718.655183453534,-0.019558589231575,0.235742219431943,-0.0829660010782302,0.933878573589113,0.970339510481095
"ENSMUSG00000103634",NA,NA,0.229819679234052,1.4360588806101,3.5288918158487,0.406943299922254,0.684049632776231,NA
"ENSMUSG00000104154",NA,NA,0,NA,NA,NA,NA,NA
"ENSMUSG00000103435",NA,NA,0,NA,NA,NA,NA,NA
"ENSMUSG00000065573","Mir350","microRNA 350",0.304365639304467,1.63124792983975,3.51537802044323,0.46403201031395,0.64262481184107,NA
"ENSMUSG00002076271",NA,NA,0.697073062147513,-2.93278503858025,2.99846382923662,-0.978095853611451,0.328026918410394,NA
"ENSMUSG00000100551",NA,NA,0,NA,NA,NA,NA,NA
"ENSMUSG00000100357",NA,NA,0,NA,NA,NA,NA,NA
"ENSMUSG00000025912","Mybl1","myeloblastosis oncogene-like 1",12.9951368186752,-0.919266508536809,0.636285795613899,-1.4447383783727,0.148531385567315,0.320466394886917
"ENSMUSG00000045210","Vcpip1","valosin containing protein (p97)/p47 complex interacting protein 1",1186.2510033837,-0.318671846695649,0.214693053751163,-1.48431372663319,0.13772571039685,0.304216667360244
"ENSMUSG00000041763","Tpp2","tripeptidyl peptidase II",2274.77598941393,-0.470845146984394,0.146313467283519,-3.21805747431311,0.00129061953591881,0.00863430816037533
"ENSMUSG00000026504","Sdccag8","serologically defined colon cancer antigen 8",299.823154770619,-0.33798442314165,0.186112936530447,-1.81601789452373,0.0693676271908778,0.190770260107841
"ENSMUSG00000103367",NA,NA,0,NA,NA,NA,NA,NA
"ENSMUSG00000103584",NA,NA,0.22703545722379,1.42501987391984,3.52956901145443,0.403737643121655,0.686405655333092,NA
"ENSMUSG00002076339",NA,NA,0,NA,NA,NA,NA,NA
"ENSMUSG00000102475",NA,NA,0,NA,NA,NA,NA,NA
"ENSMUSG00000047343","Mettl21c","methyltransferase 21C, AARS1 lysine",0.22703545722379,1.42501987391984,3.52956901145443,0.403737643121655,0.686405655333092,NA
"ENSMUSG00000102211",NA,NA,0.245538118811801,-1.44071820944091,3.52933010351511,-0.408212937635388,0.683117350627648,NA
"ENSMUSG00000087082","Gm15423","predicted gene 15423",0,NA,NA,NA,NA,NA
"ENSMUSG00000090106",NA,NA,0,NA,NA,NA,NA,NA
"ENSMUSG00000103251",NA,NA,1.51996475597632,1.20431050335613,2.21067372299735,0.544770804858196,0.585911160517084,0.75474879388127
"ENSMUSG00000091844","Ccdc168","coiled-coil domain containing 168",0,NA,NA,NA,NA,NA
"ENSMUSG00000026483","Niban1","niban apoptosis regulator 1",1608.38769207681,0.240892889015828,0.185245706514619,1.30039661133424,0.193465070760169,0.381947889217611
"ENSMUSG00000082528",NA,NA,0,NA,NA,NA,NA,NA
"ENSMUSG00000082012","Gm5257","ribosomal protein L7A pseudogene",0,NA,NA,NA,NA,NA
"ENSMUSG00000099996",NA,NA,0,NA,NA,NA,NA,NA
"ENSMUSG00000101763",NA,NA,0,NA,NA,NA,NA,NA
"ENSMUSG00000100827",NA,NA,0,NA,NA,NA,NA,NA
"ENSMUSG00000100553","Gm17751","predicted gene, 17751",0,NA,NA,NA,NA,NA
"ENSMUSG00000098611","Mir6343","microRNA 6343",0,NA,NA,NA,NA,NA
"ENSMUSG00000100534","Gm816","predicted gene 816",0,NA,NA,NA,NA,NA
"ENSMUSG00000102904",NA,NA,0,NA,NA,NA,NA,NA
"ENSMUSG00002076350",NA,NA,0,NA,NA,NA,NA,NA
